qubits    states    replications    average      precision
2         1         100             0.000216944  1
3         1         100             0.000450671  0.96
4         1         100             0.000652041  0.97
5         1         100             0.00121306   1
6         1         100             0.00312553   1
7         1         100             0.00731594   0.99
8         1         100             0.0209893    1
9         1         100             0.0579212    1
10        1         100             0.174427     1
11        1         100             0.502819     1
12        1         100             1.5277       1
13        1         100             4.55607      1
14        1         100             14.65        1
