qubits    states    replications    average    precision
2         1         100             0.278608   1
3         1         100             0.236497   1
4         1         100             0.237308   1
5         1         100             0.391999   1
6         1         100             0.271315   1
7         1         100             0.317554   1
8         1         100             0.438574   1
9         1         100             0.494154   1
10        1         100             0.643783   1
11        1         100             0.858385   1
12        1         100             1.16005    1
13        1         100             1.67973    1
14        1         100             2.51486    1
15        1         100             3.95728    1
16        1         100             6.42772    1
17        1         100             10.6233    1
18        1         100             20.8339    1
19        1         100             34.8107    1
