qubits    states    replications    average    precision
2         1         100             0.0135898  1
3         1         100             0.0277684  0.96
4         1         100             0.0495354  0.94
5         1         100             0.0789904  1
6         1         100             0.137756   1
7         1         100             0.207113   0.99
8         1         100             0.340684   1
9         1         100             0.53582    1
10        1         100             0.894778   1
11        1         100             1.35431    1
12        1         100             2.13801    1
13        1         100             3.25758    1
14        1         100             4.92334    1
15        1         100             7.59254    1
16        1         100             11.0941    1
