qubits    states    replications    average    precision
2         1         100             0.589006   1
3         1         100             0.626512   1
4         1         100             0.674454   1
5         1         100             0.742742   1
6         1         100             0.866646   1
7         1         100             1.03885    1
8         1         100             1.34575    1
9         1         100             1.85518    1
10        1         100             2.55291    1
11        1         100             3.58723    1
12        1         100             5.25095    1
13        1         100             7.71922    1
14        1         100             11.3661    1
15        1         100             16.9921    1
16        1         100             15.4491    1
17        1         100             10.5597    1
18        1         100             20.8587    1
19        1         100             34.7323    1
